kosovo	capata	dramatice	drama	kosovocapata	capatadramatice	dramaticedrama	None	
kosovo	capata	dramatice	joi	kosovocapata	capatadramatice	dramaticejoi	None	
-	se	pe	problema	-se	sepe	peproblema	None	
a	capatat	tot	mai	acapatat	capatattot	totmai	None	
adesea		hazlii	.	adesea	hazlii	hazlii.	None	
un	mare	a	fost	unmare	marea	afost	None	
adesea		melodramatice	si	adesea	melodramatice	melodramaticesi	None	
un		de	cartier	un	de	decartier	None	
romance	pun	pe	dinamismul	romancepun	punpe	pedinamismul	None	
alternativ	cu	dance	si	alternativcu	cudance	dancesi	None	
sa	puna	in	cadrul	sapuna	punain	incadrul	None	
pune	un	deosebit	pe	puneun	undeosebit	deosebitpe	None	
	cu	de	condescendenta	cu	cude	decondescendenta	None	
un	puternic	moldovenesc	.	unputernic	puternicmoldovenesc	moldovenesc.	None	
.	punind	pe	importanta	.punind	punindpe	peimportanta	None	
	cu	american		cu	cuamerican	american	None	
un	puternic	traditionalist		unputernic	puternictraditionalist	traditionalist	None	
	cu	pe	consolidarea	cu	cupe	peconsolidarea	None	
	punind	pe	importanta	punind	punindpe	peimportanta	None	
	punind	pe	vocatia	punind	punindpe	pevocatia	None	
un	puternic	valon		unputernic	puternicvalon	valon	None	
	puternicul	caucazian	al	puternicul	puterniculcaucazian	caucazianal	None	
tiganeasca	cu	rock	si	tiganeascacu	curock	rocksi	None	
au	deplasat	si	ca	audeplasat	deplasatsi	sica	None	
fara	un	deosebit		faraun	undeosebit	deosebit	None	
	cu	uneori	dramatice	cu	cuuneori	uneoridramatice	None	
foarte	mult	pe	infatisare	foartemult	multpe	peinfatisare	None	
	pune	pe	modernizarea	pune	punepe	pemodernizarea	None	
a	pune	pe	adevarata	apune	punepe	peadevarata	None	
un	mare	se	pune	unmare	marese	sepune	None	
hamaiala	cu	comice	si	hamaialacu	cucomice	comicesi	None	
si	au	taranesc		siau	autaranesc	taranesc	None	
-	n		de	-n	n	de	None	
comedie	cu	melancolice	despre	comediecu	cumelancolice	melancolicedespre	None	
care	pun	pe	omnipotenta	carepun	punpe	peomnipotenta	None	
lipsit	de	ferme	in	lipsitde	deferme	fermein	None	
	cu	urgent	pe	cu	cuurgent	urgentpe	None	
el	cuprinde	nationaliste		elcuprinde	cuprindenationaliste	nationaliste	None	
comedie	cu	parodice		comediecu	cuparodice	parodice	None	
pedofilul	are	moldovenesc		pedofilulare	aremoldovenesc	moldovenesc	None	
au	pus		in	aupus	pus	in	None	
cu	puternic	est	-	cuputernic	puternicest	est-	None	
un	puternic	est	-	unputernic	puternicest	est-	None	
ele	pun	pe	cartea	elepun	punpe	pecartea	None	
si	dulce	moldovenesc	.	sidulce	dulcemoldovenesc	moldovenesc.	None	
au	capatat	incendiare		aucapatat	capatatincendiare	incendiare	None	
-	se	pe	verificarile	-se	sepe	peverificarile	None	
nu	are	de	moldoveanca	nuare	arede	demoldoveanca	None	
-	n	aproximativ	leningradean	-n	naproximativ	aproximativleningradean	None	
valentino	punind	pe	decolteurile	valentinopunind	punindpe	pedecolteurile	None	
se	pune	pe	tehnici	sepune	punepe	petehnici	None	
pic	de	moldovenesc		picde	demoldovenesc	moldovenesc	None	
care	pune	pe	politici	carepune	punepe	pepolitici	None	
mai	mult	pe	media	maimult	multpe	pemedia	None	
noi	punem	pe	imagine	noipunem	punempe	peimagine	None	
pus	mult	pe	conditia	pusmult	multpe	peconditia	None	
va	pune	pe	prevenirea	vapune	punepe	peprevenirea	None	
un	nou	pe	reinstaurarea	unnou	noupe	pereinstaurarea	None	
-	se	pe	viteza	-se	sepe	peviteza	None	
pnr	pune	pe	pastrarea	pnrpune	punepe	pepastrarea	None	
cu	un	ardelenesc	fortat	cuun	unardelenesc	ardelenescfortat	None	
productie	cu	western	se	productiecu	cuwestern	westernse	None	
mod	evident	ostentative	.	modevident	evidentostentative	ostentative.	None	
	cu	sadice		cu	cusadice	sadice	None	
va	pune	pe	modernizarea	vapune	punepe	pemodernizarea	None	
fmi	pune	pe	aplicarea	fmipune	punepe	peaplicarea	None	
cu	un	intre	cel	cuun	unintre	intrecel	None	
un	usor	moldovenesc	.	unusor	usormoldovenesc	moldovenesc.	None	
pune	un	deosebit	pe	puneun	undeosebit	deosebitpe	None	
mai	degraba	pe	latura	maidegraba	degrabape	pelatura	None	
va	pune	pe	bonitatea	vapune	punepe	pebonitatea	None	
si	punind	mai	mult	sipunind	punindmai	maimult	None	
va	pune	pe		vapune	punepe	pe	None	
vor	pune	pe	situatia	vorpune	punepe	pesituatia	None	
	cu	pe	sustinerea	cu	cupe	pesustinerea	None	
un	usor	american	.	unusor	usoramerican	american.	None	
comedie	cu	tragice	avindu	comediecu	cutragice	tragiceavindu	None	
conferit	serii	tragice		conferitserii	seriitragice	tragice	None	
vom	pune	in	aceasta	vompune	punein	inaceasta	None	
	cu	fantastice	.	cu	cufantastice	fantastice.	None	
	cu	pe	dezvoltarea	cu	cupe	pedezvoltarea	None	
sa	puna		in	sapuna	puna	in	None	
	cu	pe	sectoarele	cu	cupe	pesectoarele	None	
a	pus	pe	considerente	apus	puspe	peconsiderente	None	
foarte	mult	pe	scandal	foartemult	multpe	pescandal	None	
sa	capete	de	lupta	sacapete	capetede	delupta	None	
	cu	preponderent	pe	cu	cupreponderent	preponderentpe	None	
.	dupa		secretara	.dupa	dupa	secretara	None	
cu	puternice	autobiografice		cuputernice	puterniceautobiografice	autobiografice	None	
	cu	moldovenesc	si	cu	cumoldovenesc	moldovenescsi	None	
punerea	unui	mai	mare	punereaunui	unuimai	maimare	None	
pus	un	deosebit	pe	pusun	undeosebit	deosebitpe	None	
se	punea	pe	gravitatea	sepunea	puneape	pegravitatea	None	
tv	cu	de	taranca	tvcu	cude	detaranca	None	
	aveau	moldovenesc		aveau	aveaumoldovenesc	moldovenesc	None	
	cu	violente	pentru	cu	cuviolente	violentepentru	None	
.	punind	pe	faptul	.punind	punindpe	pefaptul	None	
	punind	atit	pe	punind	punindatit	atitpe	None	
fanfaronada	cu	mesianice		fanfaronadacu	cumesianice	mesianice	None	
.	mare	se	punea	.mare	marese	sepunea	None	
cu	un	pronuntat	de	cuun	unpronuntat	pronuntatde	None	
populist	cu	autoritariste		populistcu	cuautoritariste	autoritariste	None	
	cu	parodice		cu	cuparodice	parodice	None	
povestea	capata	de	drama	povesteacapata	capatade	dedrama	None	
cu	un	moldovenesc		cuun	unmoldovenesc	moldovenesc	None	
cu	un	moldovenesc		cuun	unmoldovenesc	moldovenesc	None	
vineri	cu	pe	intentia	vinericu	cupe	peintentia	None	
cu	un	deosebit	pe	cuun	undeosebit	deosebitpe	None	
pune	un	sporit	pe	puneun	unsporit	sporitpe	None	
un	puternic	german	.	unputernic	puternicgerman	german.	None	
se	punea	pe	tipul	sepunea	puneape	petipul	None	
	cu	pe	cele	cu	cupe	pecele	None	
.	un	deosebit	se	.un	undeosebit	deosebitse	None	
-	se	pe	faptul	-se	sepe	pefaptul	None	
	cu		nationale	cu	cu	nationale	None	
spre	un	marginal		spreun	unmarginal	marginal	None	
pe	alocuri	comice	.	pealocuri	alocuricomice	comice.	None	
pus	un	deosebit	pe	pusun	undeosebit	deosebitpe	None	
pus	initial	pe	fatada	pusinitial	initialpe	pefatada	None	
va	pune	mai	mare	vapune	punemai	maimare	None	
sa	capete	dramatice	.	sacapete	capetedramatice	dramatice.	None	
constructiile	cu	clasice	reclama	constructiilecu	cuclasice	clasicereclama	None	
cu	un	rotunjit		cuun	unrotunjit	rotunjit	None	
sa	capete	dramatice		sacapete	capetedramatice	dramatice	None	
un	usor	rasist	atunci	unusor	usorrasist	rasistatunci	None	
