	ardelenii	ziarului	&	ardelenii	ardeleniiziarului	ziarului&	None	
lipsea	sa		bomba	lipseasa	sa	bomba	None	
dar	daca	cu	atentie	dardaca	dacacu	cuatentie	None	
-	ce	?	care	-ce	ce?	?care	None	
?	-	ce	-	?-	-ce	ce-	None	
masa		ziarul	sau	masa	ziarul	ziarulsau	None	
cruce	cind	listele	fara	crucecind	cindlistele	listelefara	None	
.	el	ziarele		.el	elziarele	ziarele	None	
serviciu		presa		serviciu	presa	presa	None	
echilibrati			se	echilibrati		se	None	
-	ti	interlocutorul	de	-ti	tiinterlocutorul	interlocutorulde	None	
incercat	sa	un	om	incercatsa	saun	unom	None	
atunci	cind	revistele	pline	atuncicind	cindrevistele	revistelepline	None	
femeile	care	astfel	de	femeilecare	careastfel	astfelde	None	
inteligenti			cu	inteligenti		cu	None	
i	se	nesfirsita	iubire	ise	senesfirsita	nesfirsitaiubire	None	
albastre	se	o	tristete	albastrese	seo	otristete	None	
aurelian	ghelase	in	suflete	aurelianghelase	ghelasein	insuflete	None	
		in	e		in	ine	None	
	udemeristii	ziarele		udemeristii	udemeristiiziarele	ziarele	None	
orasului		cu	ochii	orasului	cu	cuochii	None	
ies		iarasi	frontispiciul	ies	iarasi	iarasifrontispiciul	None	
de	rind	stirile	despre	derind	rindstirile	stiriledespre	None	
ca	daca			cadaca	daca		None	
presedintele	constantinescu	ziarele	spre	presedinteleconstantinescu	constantinescuziarele	ziarelespre	None	
celui	care	.	trairile	celuicare	care.	.trairile	None	
cind	le	.	fps	cindle	le.	.fps	None	
ce	ii	versete	din	ceii	iiversete	versetedin	None	
merita	sa	stirea	despre	meritasa	sastirea	stireadespre	None	
si	sa		cind	sisa	sa	cind	None	
care	le	in	calendar	carele	lein	incalendar	None	
daca	le	direct	din	dacale	ledirect	directdin	None	
care	il	cu	sfintenie	careil	ilcu	cusfintenie	None	
-	a	pronuntarea	.	-a	apronuntarea	pronuntarea.	None	
;	nu	si	nu	;nu	nusi	sinu	None	
.	cum	in	el	.cum	cumin	inel	None	
trei	care	comunicate	despre	treicare	carecomunicate	comunicatedespre	None	
urma	cu	falsuri	si	urmacu	cufalsuri	falsurisi	None	
cei	care		evenimentul	ceicare	care	evenimentul	None	
cine	mai	azi		cinemai	maiazi	azi	None	
puteam	sa	intii	codul	puteamsa	saintii	intiicodul	None	
.	daca	cu	atentie	.daca	dacacu	cuatentie	None	
decit	sa	cu	atentie	decitsa	sacu	cuatentie	None	
ajuta	sa	ceva	mai	ajutasa	saceva	cevamai	None	
.	sa		evenimentul	.sa	sa	evenimentul	None	
contribuabil	cind	ca	mariuca	contribuabilcind	cindca	camariuca	None	
